PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40183612,[Microsurgical resection of dominant hemisphere gliomas with intraoperative speech mapping by a staff neurologist].,2025,"A V Semenov, K A Rumyantseva, M E Eroshenko, V V Egorenkov, V M Moiseenko, M V Sinkin",", , , , , ",Not Available
40183611,[The use of radiosurgery in the treatment of patients with single brain metastasis].,2025,"M Yu Ostapenko, V A Lukshin, D Yu Usachev, A V Golanov, E R Vetlova, G L Kobyakov",", , , , , ",Not Available
40183599,Retrospective analysis to validate the CTS5 in patients from El Álamo IV registry and GEICAM adjuvant studies.,2025,"Sara Lopez-Tarruella, Marina Pollán, Eva Carrasco, Raquel Andrés, Miguel Martín, Sonia Servitja, Begoña Bermejo, Antonio Antón, Ángel Guerrero-Zotano, Montserrat Muñoz, Luis Fernández, Purificación Martínez Del Prado, Isabel Álvarez, Lourdes Calvo, Álvaro Rodríguez-Lescure, María Marín, Manuel Ruiz-Borrego, Jesús Herranz, Óscar Polonio, Encarna Adrover, Diana Moreno",", , , , , , , , , , , , , , , , , , , , ",Not Available
40183598,Clinical and pathological outcomes of deferred nephrectomy in patients with metastatic and locally advanced RCC after immune checkpoint inhibitors.,2025,"Paulo S do Amaral, Kathryn E Beckermann, Jennifer B Gordetsky, Sam S Chang, Daniel D Joyce, Kerry Schaffer, Amy N Luckenbaugh, Morgan A Lambrecht, Elizabeth G Ryan, Daniel A Barocas, Kelvin A Moses, Brian I Rini",", , , , , , , , , , , ",Not Available
40183584,"Unraveling the gut microbiota's role in obesity: key metabolites, microbial species, and therapeutic insights.",2025,"Majid Iqbal, Qian Yu, Jingqun Tang, Juanjuan Xiang",", , , ",Not Available
40183579,Molecular Imaging of B7-H3-Targeting Bispecific T Cell-Engaging Antibody MGD009 in Glioblastoma Models.,2025,"Peifei Liu, Haizhen Ding, Shubing Jia, Yizhen Pang, Cuicui Li, Tianzhi Zhao, Loren Skudder-Hill, Jingyan Wang, Hongmin Chen, Xiaobin Zhao, Xiaoyuan Chen, Jingjing Zhang",", , , , , , , , , , , ",Not Available
40183572,Evans Blue Acts as a Selective Inhibitor of CaMKII-α to Impede the Progression of TCL Identified by HTS.,2025,"Jianru Tian, Aiqin Zhang, Lansong Li, Hong Liu, Hui Jiang, Ruqi Liang",", , , , , ",Not Available
40183472,Treatment of feline oral squamous cell carcinoma with accelerated radiation and carboplatin with and without follow-up toceranib phosphate.,2025,"Andrew Schlueter, Camille Hanot, Rance Sellon, Janean Fidel",", , , ",Not Available
40183465,Reviewing the IDH1 Mutation-Mediated Mechanism of Drug Resistance and Revisiting Its Overcoming Strategies.,2025,"Yifan Wang, Hailong Bai, Aixin Wang, Jun Zhao, Hui Guo, Yuping Tang, Yuwei Wang, Qinjian Xie",", , , , , , , ",Not Available
40183455,The Role of Medicinal Plants in Modulating Epigenetic Mechanisms: Implications for Cancer Prevention and Therapy.,2025,"Khadra Afaf Bendrihem, Aicha Mouane, Manel Azzi, Mohamed Aimene Mihoubi, Maria Atanassova, Barbara Sawicka, Wafa Zahnit, Mohammed Messaoudi",", , , , , , , ",Not Available
40183451,Preparation of targeting nanogels for controlled delivery of 5-aminolevulinic acid triggered by matrix metalloproteinases as photodynamic therapy.,2025,"Xiao Liu, Yuan Zhang, Peng Zhang, Kang Ge, Ruzhi Zhang, Yixin Sun, Yang Sheng, Mark Bradley, Rong Zhang",", , , , , , , , ",Not Available
40183426,Attention-based Vision Transformer Enables Early Detection of Radiotherapy-Induced Toxicity in Magnetic Resonance Images of a Preclinical Model.,2025,"Manish Kakar, Bao Ngoc Huynh, Olga Zlygosteva, Inga Solgård Juvkam, Nina Edin, Oliver Tomic, Cecilia Marie Futsaether, Eirik Malinen",", , , , , , , ",Not Available
